날짜,가격
2023-10-04,5794
2023-10-05,5936
2023-10-06,5881
2023-10-07,5881
2023-10-08,5881
2023-10-09,5881
2023-10-10,5844
2023-10-11,5831
2023-10-12,5419
2023-10-13,5349
2023-10-14,5349
2023-10-15,5349
2023-10-16,5392
2023-10-17,5261
2023-10-18,5247
2023-10-19,5283
2023-10-20,5415
2023-10-21,5415
2023-10-22,5415
2023-10-23,5359
2023-10-24,5440
2023-10-25,5491
2023-10-26,5281
2023-10-27,5318
2023-10-28,5318
2023-10-29,5318
2023-10-30,5325
2023-10-31,5331
2023-11-01,5331
2023-11-02,5202
2023-11-03,5201
2023-11-04,5201
2023-11-05,5201
2023-11-06,5206
2023-11-07,5206
2023-11-08,5192
2023-11-09,5268
2023-11-10,5261
2023-11-11,5261
2023-11-12,5261
2023-11-13,5275
2023-11-14,5288
2023-11-15,5271
2023-11-16,4994
2023-11-17,4732
2023-11-18,4732
2023-11-19,4732
2023-11-20,4836
2023-11-21,5114
2023-11-22,5123
2023-11-23,5070
2023-11-24,5309
2023-11-25,5309
2023-11-26,5309
2023-11-27,4971
2023-11-28,4990
2023-11-29,5247
2023-11-30,5270
2023-12-01,5270
2023-12-02,5270
2023-12-03,5270
2023-12-04,5287
2023-12-05,5250
2023-12-06,5259
2023-12-07,5257
2023-12-08,5335
2023-12-09,5335
2023-12-10,5335
2023-12-11,5419
2023-12-12,5442
2023-12-13,5405
2023-12-14,5638
2023-12-15,5645
2023-12-16,5645
2023-12-17,5645
2023-12-18,5643
2023-12-19,5645
2023-12-20,5639
2023-12-21,5228
2023-12-22,5240
2023-12-23,5240
2023-12-24,5240
2023-12-25,5240
2023-12-26,5293
2023-12-27,5240
2023-12-28,5095
2023-12-29,5098
2023-12-30,5098
2023-12-31,5098
2024-01-01,5098
2024-01-02,5121
2024-01-03,5134
2024-01-04,5411
2024-01-05,5442
2024-01-06,5442
2024-01-07,5442
2024-01-08,5484
2024-01-09,5692
2024-01-10,5692
2024-01-11,5110
2024-01-12,5113
2024-01-13,5113
2024-01-14,5113
2024-01-15,5127
2024-01-16,5139
2024-01-17,5160
2024-01-18,5411
2024-01-19,5372
2024-01-20,5372
2024-01-21,5372
2024-01-22,5387
2024-01-23,5425
2024-01-24,5421
2024-01-25,5142
2024-01-26,4858
2024-01-27,4858
2024-01-28,4858
2024-01-29,4893
2024-01-30,4933
2024-01-31,4919
2024-02-01,5097
2024-02-02,5246
2024-02-03,5246
2024-02-04,5246
2024-02-05,5266
2024-02-06,5279
2024-02-07,5267
2024-02-08,4964
2024-02-09,4964
2024-02-10,4964
2024-02-11,4964
2024-02-12,4964
2024-02-13,5108
2024-02-14,5165
2024-02-15,5294
2024-02-16,5308
2024-02-17,5308
2024-02-18,5308
2024-02-19,5395
2024-02-20,5420
2024-02-21,5498
2024-02-22,5378
2024-02-23,5382
2024-02-24,5382
2024-02-25,5382
2024-02-26,5393
2024-02-27,5403
2024-02-28,5389
2024-02-29,5449
2024-03-01,5449
2024-03-02,5449
2024-03-03,5449
2024-03-04,5477
2024-03-05,5486
2024-03-06,5448
2024-03-07,5384
2024-03-08,5429
2024-03-09,5429
2024-03-10,5429
2024-03-11,5473
2024-03-12,5514
2024-03-13,5514
2024-03-14,5175
2024-03-15,5248
2024-03-16,5248
2024-03-17,5248
2024-03-18,5240
2024-03-19,5282
2024-03-20,5295
2024-03-21,5397
2024-03-22,5378
2024-03-23,5378
2024-03-24,5378
2024-03-25,5396
2024-03-26,5396
2024-03-27,5385
2024-03-28,5594
2024-03-29,5590
2024-03-30,5590
2024-03-31,5590
2024-04-01,5602
2024-04-02,5604
2024-04-03,5648
2024-04-04,5532
2024-04-05,5196
2024-04-06,5196
2024-04-07,5196
2024-04-08,5285
2024-04-09,5255
2024-04-10,5255
2024-04-11,5098
2024-04-12,5118
2024-04-13,5118
2024-04-14,5118
2024-04-15,5201
2024-04-16,5264
2024-04-17,5330
2024-04-18,5462
2024-04-19,5472
2024-04-20,5472
2024-04-21,5472
2024-04-22,5460
2024-04-23,5551
2024-04-24,5594
2024-04-25,5441
2024-04-26,5291
2024-04-27,5291
2024-04-28,5291
2024-04-29,5442
2024-04-30,5450
2024-05-01,5450
2024-05-02,5339
2024-05-03,5489
2024-05-04,5489
2024-05-05,5489
2024-05-06,5489
2024-05-07,5642
2024-05-08,5626
2024-05-09,5638
2024-05-10,5615
2024-05-11,5615
2024-05-12,5615
2024-05-13,5619
2024-05-14,5618
2024-05-15,5618
2024-05-16,5685
2024-05-17,5702
2024-05-18,5702
2024-05-19,5702
2024-05-20,5794
2024-05-21,5863
2024-05-22,5932
2024-05-23,5941
2024-05-24,5799
2024-05-25,5799
2024-05-26,5799
2024-05-27,5806
2024-05-28,5831
2024-05-29,5767
2024-05-30,5503
2024-05-31,5411
2024-06-01,5411
2024-06-02,5411
2024-06-03,5614
2024-06-04,5640
2024-06-05,5594
2024-06-06,5594
2024-06-07,5830
2024-06-08,5830
2024-06-09,5830
2024-06-10,5885
2024-06-11,5898
2024-06-12,5898
2024-06-13,5839
2024-06-14,5705
2024-06-15,5705
2024-06-16,5705
2024-06-17,5926
2024-06-18,6080
2024-06-19,6122
2024-06-20,5877
2024-06-21,5884
2024-06-22,5884
2024-06-23,5884
2024-06-24,6039
2024-06-25,6071
2024-06-26,5989
2024-06-27,5952
2024-06-28,5942
2024-06-29,5942
2024-06-30,5942
2024-07-01,5980
2024-07-02,6017
2024-07-03,6068
2024-07-04,6063
2024-07-05,5898
2024-07-06,5898
2024-07-07,5898
2024-07-08,5945
2024-07-09,5939
2024-07-10,5968
2024-07-11,5964
2024-07-12,5878
2024-07-13,5878
2024-07-14,5878
2024-07-15,5886
2024-07-16,5884
2024-07-17,5855
2024-07-18,5707
2024-07-19,5449
2024-07-20,5449
2024-07-21,5449
2024-07-22,5492
2024-07-23,5486
2024-07-24,5734
2024-07-25,5933
2024-07-26,5843
2024-07-27,5843
2024-07-28,5843
2024-07-29,5912
2024-07-30,5915
2024-07-31,5950
2024-08-01,5775
2024-08-02,5665
2024-08-03,5665
2024-08-04,5665
2024-08-05,5906
2024-08-06,5850
2024-08-07,5834
2024-08-08,5866
2024-08-09,5498
2024-08-10,5498
2024-08-11,5498
2024-08-12,5660
2024-08-13,5700
2024-08-14,5736
2024-08-15,5736
2024-08-16,5320
2024-08-17,5320
2024-08-18,5320
2024-08-19,5335
2024-08-20,5369
2024-08-21,5422
2024-08-22,5579
2024-08-23,5818
2024-08-24,5818
2024-08-25,5818
2024-08-26,5863
2024-08-27,5754
2024-08-28,5715
2024-08-29,5228
2024-08-30,5252
2024-08-31,5252
2024-09-01,5252
2024-09-02,5506
2024-09-03,5585
2024-09-04,5475
2024-09-05,5464
2024-09-06,5357
2024-09-07,5357
2024-09-08,5357
2024-09-09,5463
2024-09-10,5437
2024-09-11,5459
2024-09-12,5433
2024-09-13,5401
2024-09-14,5401
2024-09-15,5401
2024-09-16,5401
2024-09-17,5401
2024-09-18,5401
2024-09-19,5096
2024-09-20,5099
2024-09-21,5099
2024-09-22,5099
2024-09-23,5157
2024-09-24,5150
2024-09-25,5303
2024-09-26,5586
2024-09-27,5576
2024-09-28,5576
2024-09-29,5576
2024-09-30,5599
2024-10-01,5599
2024-10-02,5302
2024-10-03,5302
2024-10-04,5426
2024-10-05,5426
2024-10-06,5426
2024-10-07,5443
2024-10-08,5373
2024-10-09,5373
2024-10-10,5060
2024-10-11,5013
2024-10-12,5013
2024-10-13,5013
2024-10-14,5072
2024-10-15,5064
2024-10-16,5074
2024-10-17,5093
2024-10-18,4825
2024-10-19,4825
2024-10-20,4825
2024-10-21,4907
2024-10-22,5007
2024-10-23,4947
2024-10-24,4599
2024-10-25,4589
2024-10-26,4589
