날짜,Average_Value
2022.09.01,22.5
2022.09.02,23.0
2022.09.03,23.900000000000002
2022.09.04,23.96666666666667
2022.09.05,22.666666666666668
2022.09.06,21.399999999999995
2022.09.07,21.099999999999998
2022.09.08,21.166666666666668
2022.09.09,22.3
2022.09.10,21.600000000000005
2022.09.11,23.0
2022.09.12,22.833333333333332
2022.09.13,23.600000000000005
2022.09.14,24.166666666666668
2022.09.15,24.833333333333332
2022.09.16,26.099999999999998
2022.09.17,26.46666666666667
2022.09.18,27.166666666666668
2022.09.19,24.03333333333333
2022.09.20,19.2
2022.09.21,18.099999999999998
2022.09.22,18.13333333333333
2022.09.23,17.53333333333333
2022.09.24,17.766666666666666
2022.09.25,17.86666666666667
2022.09.26,18.099999999999998
2022.09.27,18.733333333333334
2022.09.28,19.066666666666666
2022.09.29,18.166666666666668
2022.09.30,17.933333333333334
2022.10.01,18.999999999999996
2022.10.02,20.46666666666667
2022.10.03,23.599999999999998
2022.10.04,19.450000000000003
2022.10.05,16.549999999999997
2022.10.06,16.15
2022.10.07,15.100000000000001
2022.10.08,15.200000000000001
2022.10.09,13.700000000000001
2022.10.10,11.733333333333334
2022.10.11,12.766666666666666
2022.10.12,11.800000000000002
2022.10.13,14.433333333333332
2022.10.14,15.4
2022.10.15,16.466666666666665
2022.10.16,16.833333333333332
2022.10.17,13.066666666666668
2022.10.18,9.466666666666667
2022.10.19,9.200000000000001
2022.10.20,10.333333333333334
2022.10.21,12.899999999999999
2022.10.22,15.066666666666668
2022.10.23,13.766666666666667
2022.10.24,10.566666666666666
2022.10.25,9.533333333333333
2022.10.26,11.433333333333332
2022.10.27,12.566666666666668
2022.10.28,11.766666666666666
2022.10.29,12.9
2022.10.30,13.133333333333333
2022.10.31,13.4
2022.11.01,12.166666666666666
2022.11.02,9.799999999999999
2022.11.03,9.666666666666666
2022.11.04,6.966666666666666
2022.11.05,6.866666666666667
2022.11.06,7.633333333333333
2022.11.07,8.9
2022.11.08,10.366666666666667
2022.11.09,10.033333333333333
2022.11.10,12.466666666666667
2022.11.11,15.033333333333331
2022.11.12,17.166666666666668
2022.11.13,11.233333333333334
2022.11.14,10.1
2022.11.15,7.433333333333334
2022.11.16,8.0
2022.11.17,8.366666666666665
2022.11.18,9.266666666666666
2022.11.19,12.333333333333334
2022.11.20,12.333333333333334
2022.11.21,10.566666666666668
2022.11.22,10.666666666666666
2022.11.23,10.966666666666667
2022.11.24,8.233333333333333
2022.11.25,9.566666666666666
2022.11.26,8.6
2022.11.27,6.3
2022.11.28,12.633333333333333
2022.11.29,9.633333333333333
2022.11.30,-1.4333333333333333
2022.12.01,-2.1666666666666665
2022.12.02,-0.6666666666666666
2022.12.03,4.0
2022.12.04,0.5333333333333333
2022.12.05,-0.7999999999999999
2022.12.06,0.5333333333333333
2022.12.07,4.233333333333333
2022.12.08,3.233333333333333
2022.12.09,3.3666666666666667
2022.12.10,2.1333333333333333
2022.12.11,2.266666666666666
2022.12.12,1.8333333333333333
2022.12.13,3.9333333333333336
2022.12.14,-4.466666666666666
2022.12.15,-1.7666666666666666
2022.12.16,-2.4
2022.12.17,-4.2
2022.12.18,-6.633333333333333
2022.12.19,-4.999999999999999
2022.12.20,-1.6333333333333335
2022.12.21,1.4666666666666666
2022.12.22,-3.9
2022.12.23,-6.733333333333333
2022.12.24,-7.533333333333334
2022.12.25,-4.633333333333334
2022.12.26,-4.033333333333333
2022.12.27,-2.7999999999999994
2022.12.28,-1.8
2022.12.29,-2.566666666666667
2022.12.30,-1.1
2022.12.31,-1.5999999999999999
2023.01.01,-0.13333333333333333
2023.01.02,-1.7999999999999998
2023.01.03,-2.9
2023.01.04,-1.4666666666666666
2023.01.05,-0.7666666666666666
2023.01.06,1.0333333333333332
2023.01.07,2.8333333333333335
2023.01.08,0.20000000000000004
2023.01.09,3.1666666666666665
2023.01.10,0.8666666666666667
2023.01.11,1.6000000000000003
2023.01.12,5.933333333333334
2023.01.13,9.733333333333333
2023.01.14,6.033333333333334
2023.01.15,0.8999999999999999
2023.01.16,-2.1333333333333333
2023.01.17,-2.066666666666667
2023.01.18,-0.7999999999999998
2023.01.19,0.19999999999999996
2023.01.20,-0.2333333333333333
2023.01.21,-3.0333333333333337
2023.01.22,0.5333333333333332
2023.01.23,0.9333333333333332
2023.01.24,-9.266666666666667
2023.01.25,-10.0
2023.01.26,-3.766666666666667
2023.01.27,-4.833333333333333
2023.01.28,-4.1000000000000005
2023.01.29,-0.33333333333333326
2023.01.30,-0.06666666666666667
2023.01.31,1.7999999999999998
2023.02.01,3.0666666666666664
2023.02.02,-1.0
2023.02.03,-0.7333333333333334
2023.02.04,-0.5666666666666668
2023.02.05,-0.30000000000000004
2023.02.06,1.7333333333333334
2023.02.07,2.6333333333333333
2023.02.08,1.3
2023.02.09,3.9333333333333336
2023.02.10,3.9
2023.02.11,1.6333333333333335
2023.02.12,3.3000000000000003
2023.02.13,5.933333333333334
