날짜,평균기온
2023.09.29,19.1
2023.09.30,17.6
2023.10.01,15.95
2023.10.02,14.55
2023.10.03,14.25
2023.10.04,14.45
2023.10.05,12.45
2023.10.06,11.9
2023.10.07,14.05
2023.10.08,15.05
2023.10.09,15
2023.10.10,14.2
2023.10.11,14.15
2023.10.12,14.35
2023.10.13,14.9
2023.10.14,12.35
2023.10.15,13.85
2023.10.16,12.95
2023.10.17,10
2023.10.18,12.7
2023.10.19,14.55
2023.10.20,10.95
2023.10.21,7.65
2023.10.22,9
2023.10.23,12.1
2023.10.24,11.65
2023.10.25,13.05
2023.10.26,14.2
2023.10.27,13
2023.10.28,10.05
2023.10.29,10.55
2023.10.30,11.4
2023.10.31,12.9
2023.11.01,17
2023.11.02,19.25
2023.11.03,17.4
2023.11.04,16
2023.11.05,16.4
2023.11.06,13.5
2023.11.07,4.95
2023.11.08,5.75
2023.11.09,9.35
2023.11.10,3.75
2023.11.11,0.7
2023.11.12,-0.2
2023.11.13,0.3
2023.11.14,2.15
2023.11.15,3.55
2023.11.16,3.7
2023.11.17,1.35
2023.11.18,-0.15
2023.11.19,4.95
2023.11.20,3.7
2023.11.21,3.8
2023.11.22,6.4
2023.11.23,9.55
2023.11.24,-1.45
2023.11.25,-3
2023.11.26,1.55
2023.11.27,4.35
2023.11.28,1.1
2023.11.29,-2.15
2023.11.30,-5
2023.12.01,-4.95
2023.12.02,-0.75
2023.12.03,-0.95
2023.12.04,-0.55
2023.12.05,2.9
2023.12.06,3.7
2023.12.07,5.45
2023.12.08,8.95
2023.12.09,11.05
2023.12.10,8.85
2023.12.11,6.65
2023.12.12,3.5
2023.12.13,4.3
2023.12.14,5.8
2023.12.15,3.35
2023.12.16,-4.25
2023.12.17,-10.65
2023.12.18,-9.65
2023.12.19,-5.25
2023.12.20,-7.85
2023.12.21,-12.2
2023.12.22,-12.65
2023.12.23,-10.2
2023.12.24,-5.85
2023.12.25,-3.75
2023.12.26,-0.45
2023.12.27,-2.4
2023.12.28,-1.9
2023.12.29,-1.1
2023.12.30,-1.45
2023.12.31,1.1
2024.01.01,0.85
2024.01.02,1.3
2024.01.03,-0.1
2024.01.04,-1.2
2024.01.05,3.65
2024.01.06,-0.65
2024.01.07,-4.65
2024.01.08,-6.25
2024.01.09,-2.65
2024.01.10,-2.35
2024.01.11,0.1
2024.01.12,0.15
2024.01.13,-2.65
2024.01.14,-3.1
2024.01.15,-5.65
2024.01.16,-6
2024.01.17,-2.15
2024.01.18,3.1
2024.01.19,3.85
2024.01.20,1.65
2024.01.21,1.4
2024.01.22,-8.4
2024.01.23,-12.05
2024.01.24,-9.1
2024.01.25,-7.15
2024.01.26,-3.75
2024.01.27,-2.5
2024.01.28,-2.45
2024.01.29,-3.2
2024.01.30,-2.1
2024.01.31,2.4
2024.02.01,0.9
2024.02.02,1.65
2024.02.03,1.95
2024.02.04,3.6
2024.02.05,1.4
2024.02.06,0.15
2024.02.07,-0.1
2024.02.08,-1.25
2024.02.09,-0.75
2024.02.10,-0.4
2024.02.11,-0.75
2024.02.12,1.1
2024.02.13,6.35
2024.02.14,11.2
2024.02.15,4.4
2024.02.16,0.45
2024.02.17,1.5
2024.02.18,3.65
2024.02.19,7.9
2024.02.20,3.75
2024.02.21,0.95
2024.02.22,-0.5
2024.02.23,0.65
2024.02.24,0.65
2024.02.25,1.65
2024.02.26,1.75
2024.02.27,2.6
2024.02.28,3.85
2024.02.29,3.35
2024.03.01,-3.9
2024.03.02,-1.9
2024.03.03,3.5
2024.03.04,2.7
2024.03.05,5.35
2024.03.06,4.25
2024.03.07,1.8
2024.03.08,1.1
2024.03.09,0.75
2024.03.10,2.55
2024.03.11,3.6
2024.03.12,4.75
2024.03.13,4.55
2024.03.14,6.75
2024.03.15,8.25
2024.03.16,9.5
2024.03.17,8.7
2024.03.18,5.85
2024.03.19,5.6
2024.03.20,3.3
2024.03.21,3.85
2024.03.22,8.15
2024.03.23,11.6
2024.03.24,13.6
2024.03.25,8.7
2024.03.26,5.65
2024.03.27,9
2024.03.28,9.05
2024.03.29,7.05
2024.03.30,6.9
2024.03.31,8.7
2024.04.01,10.7
2024.04.02,13.4
2024.04.03,13.1
2024.04.04,13.4
2024.04.05,12.9
2024.04.06,11.5
2024.04.07,13.55
2024.04.08,15.25
2024.04.09,13.2
2024.04.10,12.45
2024.04.11,13.5
2024.04.12,15.95
2024.04.13,17.6
2024.04.14,19.65
2024.04.15,15.2
2024.04.16,13.5
2024.04.17,14.45
2024.04.18,16.75
2024.04.19,16.9
2024.04.20,13.15
2024.04.21,15.6
2024.04.22,16.85
2024.04.23,15.25
2024.04.24,12.55
2024.04.25,14.6
2024.04.26,16.9
2024.04.27,17.75
2024.04.28,18.7
2024.04.29,17.7
2024.04.30,16.9
2024.05.01,16.65
2024.05.02,16.65
2024.05.03,17.9
2024.05.04,19.6
2024.05.05,17.2
2024.05.06,14.2
2024.05.07,13.2
2024.05.08,14.2
2024.05.09,15.4
2024.05.10,16.6
2024.05.11,16
2024.05.12,15.65
2024.05.13,16.95
2024.05.14,17.3
2024.05.15,11.65
2024.05.16,13.1
2024.05.17,16.4
2024.05.18,19.1
2024.05.19,20.4
2024.05.20,18.7
2024.05.21,20.8
2024.05.22,19.8
2024.05.23,19.8
2024.05.24,19.25
2024.05.25,19.8
2024.05.26,19.2
2024.05.27,17.65
2024.05.28,18.15
2024.05.29,19.25
2024.05.30,18.5
2024.05.31,19.85
2024.06.01,20
2024.06.02,18.55
