날짜,경유가격
2022-09-27,1836
2022-09-28,1832
2022-09-29,1828
2022-09-30,1826
2022-10-01,1822
2022-10-02,1820
2022-10-03,1820
2022-10-04,1817
2022-10-05,1815
2022-10-06,1814
2022-10-07,1814
2022-10-08,1818
2022-10-09,1819
2022-10-10,1821
2022-10-11,1824
2022-10-12,1828
2022-10-13,1829
2022-10-14,1831
2022-10-15,1833
2022-10-16,1834
2022-10-17,1836
2022-10-18,1840
2022-10-19,1842
2022-10-20,1845
2022-10-21,1848
2022-10-22,1851
2022-10-23,1852
2022-10-24,1855
2022-10-25,1857
2022-10-26,1860
2022-10-27,1862
2022-10-28,1864
2022-10-29,1866
2022-10-30,1867
2022-10-31,1869
2022-11-01,1872
2022-11-02,1874
2022-11-03,1875
2022-11-04,1877
2022-11-05,1879
2022-11-06,1880
2022-11-07,1882
2022-11-08,1884
2022-11-09,1886
2022-11-10,1888
2022-11-11,1888
2022-11-12,1888
2022-11-13,1888
2022-11-14,1889
2022-11-15,1889
2022-11-16,1888
2022-11-17,1887
2022-11-18,1885
2022-11-19,1883
2022-11-20,1882
2022-11-21,1881
2022-11-22,1878
2022-11-23,1875
2022-11-24,1872
2022-11-25,1870
2022-11-26,1867
2022-11-27,1866
2022-11-28,1864
2022-11-29,1861
2022-11-30,1859
2022-12-01,1857
2022-12-02,1855
2022-12-03,1854
2022-12-04,1853
2022-12-05,1850
2022-12-06,1847
2022-12-07,1842
2022-12-08,1835
2022-12-09,1827
2022-12-10,1818
2022-12-11,1814
2022-12-12,1807
2022-12-13,1796
2022-12-14,1787
2022-12-15,1779
2022-12-16,1771
2022-12-17,1764
2022-12-18,1761
2022-12-19,1756
2022-12-20,1751
2022-12-21,1745
2022-12-22,1741
2022-12-23,1738
2022-12-24,1735
2022-12-25,1733
2022-12-26,1731
2022-12-27,1728
2022-12-28,1725
2022-12-29,1724
2022-12-30,1722
2022-12-31,1721
2023-01-01,1720
2023-01-02,1720
2023-01-03,1719
2023-01-04,1717
2023-01-05,1713
2023-01-06,1710
2023-01-07,1704
2023-01-08,1702
2023-01-09,1698
2023-01-10,1692
2023-01-11,1685
2023-01-12,1679
2023-01-13,1674
2023-01-14,1670
2023-01-15,1668
2023-01-16,1666
2023-01-17,1662
2023-01-18,1659
2023-01-19,1656
2023-01-20,1654
2023-01-21,1653
2023-01-22,1653
2023-01-23,1652
2023-01-24,1652
2023-01-25,1651
2023-01-26,1651
2023-01-27,1650
2023-01-28,1649
2023-01-29,1649
2023-01-30,1649
2023-01-31,1648
2023-02-01,1646
2023-02-02,1645
2023-02-03,1643
2023-02-04,1641
2023-02-05,1639
2023-02-06,1638
2023-02-07,1633
2023-02-08,1628
2023-02-09,1623
2023-02-10,1620
2023-02-11,1617
2023-02-12,1615
2023-02-13,1613
2023-02-14,1608
2023-02-15,1605
2023-02-16,1601
2023-02-17,1598
2023-02-18,1594
2023-02-19,1592
2023-02-20,1589
2023-02-21,1584
2023-02-22,1581
2023-02-23,1577
2023-02-24,1573
2023-02-25,1569
2023-02-26,1568
2023-02-27,1566
2023-02-28,1563
2023-03-01,1558
2023-03-02,1556
2023-03-03,1552
2023-03-04,1552
2023-03-05,1551
2023-03-06,1550
2023-03-07,1549
2023-03-08,1549
2023-03-09,1548
2023-03-10,1548
2023-03-11,1547
2023-03-12,1547
2023-03-13,1547
2023-03-14,1546
2023-03-15,1545
2023-03-16,1544
2023-03-17,1542
2023-03-18,1539
2023-03-19,1538
2023-03-20,1537
2023-03-21,1534
2023-03-22,1531
2023-03-23,1528
2023-03-24,1527
2023-03-25,1525
2023-03-26,1524
2023-03-27,1523
2023-03-28,1521
2023-03-29,1520
2023-03-30,1519
2023-03-31,1519
2023-04-01,1518
2023-04-02,1517
2023-04-03,1518
2023-04-04,1520
2023-04-05,1522
2023-04-06,1524
2023-04-07,1526
2023-04-08,1528
2023-04-09,1529
2023-04-10,1531
2023-04-11,1534
2023-04-12,1536
