날짜,평균기온
2023-05-09,19.1
2023-05-10,18.5
2023-05-11,17.7
2023-05-12,17.75
2023-05-13,17.35
2023-05-14,17.55
2023-05-15,19.95
2023-05-16,25.35
2023-05-17,25.5
2023-05-18,20.3
2023-05-19,18.0
2023-05-20,20.15
2023-05-21,20.5
2023-05-22,17.65
2023-05-23,18.2
2023-05-24,19.65
2023-05-25,21.2
2023-05-26,22.25
2023-05-27,22.55
2023-05-28,20.95
2023-05-29,20.6
2023-05-30,19.3
2023-05-31,20.65
2023-06-01,21.95
2023-06-02,22.25
2023-06-03,22.8
2023-06-04,23.15
2023-06-05,23.25
2023-06-06,22.5
2023-06-07,22.8
2023-06-08,24.05
2023-06-09,22.2
2023-06-10,22.05
2023-06-11,21.7
2023-06-12,20.9
2023-06-13,21.4
2023-06-14,19.7
2023-06-15,20.9
2023-06-16,26.1
2023-06-17,29.2
2023-06-18,24.1
2023-06-19,23.05
2023-06-20,21.2
2023-06-21,19.95
2023-06-22,21.55
2023-06-23,22.2
2023-06-24,22.55
2023-06-25,22.6
2023-06-26,22.8
2023-06-27,25.2
2023-06-28,25.9
2023-06-29,24.45
2023-06-30,22.05
2023-07-01,24.35
2023-07-02,25.85
2023-07-03,24.1
2023-07-04,24.1
2023-07-05,26.4
2023-07-06,27.55
2023-07-07,26.0
2023-07-08,24.6
2023-07-09,25.15
2023-07-10,28.05
2023-07-11,26.45
2023-07-12,26.75
2023-07-13,26.15
2023-07-14,27.35
2023-07-15,25.95
2023-07-16,25.5
2023-07-17,27.1
2023-07-18,24.95
2023-07-19,24.95
2023-07-20,25.25
2023-07-21,25.8
2023-07-22,26.0
2023-07-23,27.2
2023-07-24,27.2
2023-07-25,28.95
2023-07-26,29.15
2023-07-27,29.7
2023-07-28,29.65
2023-07-29,29.65
2023-07-30,29.65
2023-07-31,29.1
2023-08-01,28.95
2023-08-02,30.85
2023-08-03,31.0
2023-08-04,30.9
2023-08-05,30.75
2023-08-06,28.45
2023-08-07,26.3
2023-08-08,26.2
2023-08-09,24.65
2023-08-10,23.7
2023-08-11,26.95
2023-08-12,25.25
2023-08-13,25.8
2023-08-14,25.95
2023-08-15,25.25
2023-08-16,25.9
2023-08-17,25.9
2023-08-18,25.5
2023-08-19,26.6
2023-08-20,26.8
2023-08-21,27.85
2023-08-22,29.5
2023-08-23,25.85
2023-08-24,24.1
2023-08-25,25.4
2023-08-26,25.7
2023-08-27,25.3
2023-08-28,24.75
2023-08-29,26.65
2023-08-30,23.2
2023-08-31,23.95
2023-09-01,24.9
2023-09-02,24.75
2023-09-03,25.4
2023-09-04,25.25
2023-09-05,25.25
2023-09-06,24.55
2023-09-07,23.4
2023-09-08,22.75
2023-09-09,23.1
2023-09-10,23.65
2023-09-11,24.25
2023-09-12,25.45
2023-09-13,22.5
2023-09-14,21.55
2023-09-15,23.35
2023-09-16,23.0
2023-09-17,23.9
2023-09-18,24.85
2023-09-19,24.9
2023-09-20,22.9
2023-09-21,20.0
2023-09-22,19.8
2023-09-23,19.95
2023-09-24,20.85
2023-09-25,22.05
2023-09-26,22.3
2023-09-27,21.9
2023-09-28,23.25
2023-09-29,21.4
2023-09-30,20.05
2023-10-01,19.75
2023-10-02,18.1
2023-10-03,17.85
2023-10-04,19.4
2023-10-05,16.85
2023-10-06,16.25
2023-10-07,16.65
2023-10-08,17.35
2023-10-09,17.5
2023-10-10,17.25
2023-10-11,16.85
2023-10-12,17.1
2023-10-13,17.5
